WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:at4g05508	0	0	0	1	0.236779309199278	1.37714715697552	4.9948116307562	0.275715534194634	0.7827665633774	0.950670363942787	1	110.5
transcript:at4g05305	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g08116	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g05415	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g05455	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g10345	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g05800	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g05855	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g05860	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g05925	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g05930	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g06075	1	0	2	7	2.4236369541143	3.09049117324317	2.40000991670177	1.28769933479704	0.197850645228958	0.950670363942787	1	11
transcript:at4g13493	34	32	35	40	35.1764675406427	0.131637346147965	0.546619750230044	0.240820691335367	0.809694092134287	0.950670363942787	1	127
transcript:at4g13494	24	31	35	58	36.6198318283335	0.698475316395496	0.557606951569089	1.25263021637375	0.210340312945852	0.950670363942787	1	14
transcript:at4g13554	1	2	0	0	0.760548599410803	-3.07383111312962	3.78481010167969	-0.812149362993262	0.416705931260425	0.950670363942787	1	31
transcript:at4g13555	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g06110	1	6	5	1	3.27885322363969	-0.23641890407835	1.8176026400134	-0.130071831363871	0.896509596075659	0.974466952256151	1	138
transcript:at4g13564	0	1	2	7	2.41890246778958	3.09691791248636	2.4016666402831	1.28948700062774	0.197228832727902	0.950670363942787	1	10
transcript:at4g06130	0	4	1	0	1.26250678363107	-2.01281272680378	3.19997476091199	-0.629008938254917	0.529343204551451	0.950670363942787	1	48.5
transcript:at4g14504	5	4	5	0	3.56488793513003	-0.859042625893938	1.81720417580608	-0.472727631452247	0.636407510521406	0.950670363942787	1	76
transcript:at4g06260	0	2	0	0	0.503876075390718	-2.48060859400872	4.89318198290591	-0.506952041161479	0.612188469457418	0.950670363942787	1	65
transcript:at4g14811	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g17788	4	4	0	2	2.50800086526033	-2.08249926297386	2.15415187322693	-0.966737437994223	0.333675306562316	0.950670363942787	1	22
transcript:at4g06865	1	1	7	4	3.23901022846	2.42230126050664	1.89126583486537	1.28078306912316	0.200269872526127	0.950670363942787	1	12
transcript:at4g19395	3	3	10	1	4.31015732284195	0.86119514588759	1.62120687518149	0.531206201423975	0.595275896055709	0.950670363942787	1	57
transcript:at4g06915	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g07000	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g07005	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g21362	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g21595	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g07080	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g07100	0	1	0	0	0.251938037695359	-1.4889087282958	4.99680329447386	-0.297972251567804	0.765724342199757	0.950670363942787	1	97
transcript:at4g23375	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g23387	0	0	0	2	0.473558618398557	2.34459024542489	4.89591452623857	0.478887086949654	0.632018957858112	0.950670363942787	1	74
transcript:at4g23713	1	0	0	0	0.256672524020085	-1.50244803351832	4.99583519685547	-0.300740111375974	0.763612679420479	0.950670363942787	1	90
transcript:at4g24415	11	16	15	20	15.4113120440768	0.320562447325751	0.815949728425165	0.392870340118205	0.694415248979272	0.950670363942787	1	79
transcript:at4g07565	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g27765	1	1	1	0	0.763365194565078	-1.02146774289601	3.5840251647605	-0.285005739619093	0.775639744636166	0.950670363942787	1	106.5
transcript:at4g08335	20	14	20	26	19.9119377043106	0.379014769395532	0.724502858947159	0.523137713971637	0.600878422173197	0.950670363942787	1	58
transcript:at4g30972	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g31877	2	2	1	2	1.74553437467908	-0.477890179354496	2.29167380094769	-0.208533247252236	0.834812625641047	0.963245337278131	1	130
transcript:at4g32445	0	2	0	0	0.503876075390718	-2.48060859400872	4.89318198290591	-0.506952041161479	0.612188469457418	0.950670363942787	1	65
transcript:at4g09735	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g09925	66	95	61	75	74.1729809601583	-0.295462802358728	0.404227741054034	-0.730931532774819	0.464820974344287	0.950670363942787	1	40
transcript:at5g01747	3	3	1	1	2.01736562719524	-1.63491618529323	2.21892683264747	-0.736804910030569	0.461240996860307	0.950670363942787	1	39
transcript:at5g02035	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at5g03552	46	36	36	42	39.9926032309134	-0.126369007611773	0.52030409268152	-0.242875290410456	0.808102007914273	0.950670363942787	1	126
transcript:at5g04275	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at5g08185	6	3	3	4	4.0072303925526	-0.421613180296108	1.55652468473671	-0.27086829038463	0.786492334203628	0.950670363942787	1	114
transcript:at5g08210	28	55	23	51	38.9785240705119	-0.228210588334354	0.58574810548519	-0.389605337511628	0.69682840467668	0.950670363942787	1	80
