WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04707.1	20	27	14	8	17.1052389363453	-1.09110142598915	0.819201521516044	-1.33190844661753	0.182890275114659	0.999461769492062	1	133
transcript:AT1G04713.1	2	0	0	0	0.541849427320739	-2.57641244038388	4.88481558899932	-0.527432897607435	0.597893003264969	1	1	676.5
transcript:AT1G04717.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04723.1	38	33	30	36	34.001884758635	-0.144840590906437	0.579075815578416	-0.250123709210272	0.802491681299037	0.999461769492062	1	1253
transcript:AT1G04737.1	33	41	38	35	36.3268400046721	-0.0329578280892144	0.557744937744417	-0.0590912186894955	0.952879452891871	0.999461769492062	1	1523
transcript:AT1G04743.1	2	10	0	0	2.83890028888012	-4.98274575764774	2.41598806860146	-2.06240495241026	0.0391691982083519	1	1	33
transcript:AT1G04747.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04753.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04763.1	2	0	0	0	0.541849427320739	-2.57641244038388	4.88481558899932	-0.527432897607435	0.597893003264969	1	1	676.5
transcript:AT1G04767.1	5	17	15	25	14.9463575799833	0.870023910190768	0.897515201971957	0.969369553049589	0.332360837839848	0.999461769492062	1	286
transcript:AT1G04773.1	65	77	72	114	80.4022074058207	0.355608344925335	0.406342686470166	0.875143953037391	0.381495584351323	0.999461769492062	1	339
transcript:AT1G04783.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04787.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04793.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04797.1	7	2	2	4	3.80206937885596	-0.686535199724356	1.6787533077645	-0.408955381680573	0.682572405215594	1	1	918
transcript:AT1G04803.1	9	11	7	15	10.25865991586	0.0966974893149617	1.02054453630864	0.0947508764925841	0.92451270612446	0.999461769492062	1	1473
transcript:AT1G04807.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04813.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04817.1	0	4	0	0	0.918820344623753	-3.35804875087523	3.92578840180714	-0.855382004116532	0.392339702899607	1	1	362
transcript:AT1G04823.1	34	57	40	66	47.9813370961049	0.201865423080491	0.512614056639267	0.393796113208315	0.693731574248226	0.999461769492062	1	936
transcript:AT1G04827.1	45	59	44	50	48.7469761730964	-0.163395177667807	0.487306231048607	-0.335302869647708	0.737396629240331	0.999461769492062	1	1009
transcript:AT1G04833.1	1067	1347	617	408	853.063846034649	-1.23463926235846	0.251202238659142	-4.91492141530532	8.88180789899416e-07	0.000390355457160793	0.00172262664200992	2
transcript:AT1G04837.1	170	174	176	197	177.341152793185	0.0872711282663463	0.293376785830362	0.297471144553369	0.766106834763933	0.999461769492062	1	1074
transcript:AT1G04847.1	0	0	0	2	0.46385961395229	2.34508136300271	4.89790038057447	0.478793193161608	0.632085759585295	1	1	823.5
transcript:AT1G04853.1	89	106	115	108	103.321309325199	0.177818786212075	0.358463747677791	0.496057934349079	0.619853536840209	0.999461769492062	1	762
