WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT2G09045.1	22	16	7	6	13.3653060664163	-1.82976357044695	0.984807996713083	-1.857990163112	0.0631704112354287	0.258557962265941	0.541255568994469	44
transcript:AT2G39675.1	91	128	675	562	336.840233668436	2.25319344040957	0.241077707197752	9.34633677497736	9.07359356541547e-21	7.98476233756561e-19	1.71037238708082e-18	2
transcript:AT2G39681.1	198	248	565	487	356.286550396174	0.988079759435494	0.221299063293067	4.46490710232686	8.01035005059534e-06	0.000100701543493199	0.000215707283505317	14
transcript:AT2G09155.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G09215.1	26	30	34	41	31.9474250433297	0.167568470608701	0.618820374615463	0.270786931850505	0.786554911377943	0.955743576697009	1	194
transcript:AT2G41312.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G41312.1	0	1	0	0	0.244748388835622	-1.6616118788516	4.99053578040508	-0.33295260308037	0.739170061015437	1	1	184
transcript:AT2G09365.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G42388.1	1	0	0	0	0.296454380108168	-1.80140831829548	4.98137185686678	-0.361628958860449	0.717629321228214	1	1	175.5
transcript:AT2G42425.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G42485.1	68	51	60	70	61.9280243890765	-0.151486996000947	0.473207812335655	-0.320127842465741	0.748871420141811	0.934761488971338	1	189
transcript:AT2G09395.1	166	209	400	390	278.290298787149	0.825539975927178	0.236914431524776	3.48454912862007	0.000492966953160417	0.00456643072401228	0.00978150217586722	19
transcript:AT2G09400.1	38	39	89	55	53.2207314260756	0.641536957987399	0.509027485198177	1.26031889562434	0.207554346203889	0.480652170156376	0.954243762425199	82
transcript:AT2G43375.1	63	67	47	52	57.3761345092928	-0.652011909074407	0.47020475770284	-1.38665527813835	0.165546903706085	0.422264565974942	0.854947708180741	73
transcript:AT2G09475.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G44995.1	38	29	35	26	32.0959984562083	-0.414220616668525	0.634996986334581	-0.652319027621766	0.514195387730729	0.825513758528785	1	128
transcript:AT2G45023.1	3	0	0	0	0.889363140324505	-3.41351623137699	4.27642426557813	-0.798217393641957	0.424744345415965	1	1	114
transcript:AT2G45023.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G45245.3	0	1	0	2	0.696572727569909	0.783637005571784	4.3609737428383	0.179693126302054	0.857393490023858	1	1	211
transcript:AT2G45245.4	1	2	11	6	4.61149376413973	2.26961956781412	1.7063251607385	1.33012137430584	0.183478284191068	0.442358602981206	0.886811706923497	78
transcript:AT2G45245.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G45245.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G45780.1	2	4	2	8	3.82830323234278	0.513792880283951	1.76760436003828	0.290671878786735	0.771302280862163	1	1	192
transcript:AT2G09675.1	27	38	53	44	39.1460868797689	0.333918185163827	0.56406703562654	0.591983158159429	0.553861866326584	0.8375439598366	1	136
transcript:AT2G46192.1	90	73	66	46	69.7599039265689	-0.817643751397269	0.455379264670667	-1.79552257828119	0.0725704787535174	0.277617203498911	0.582107882767576	47
transcript:AT2G09735.1	410	399	467	531	444.025946614945	0.0382083873296913	0.213003151485797	0.179379446093496	0.857639769267083	0.980159736305238	1	212
transcript:AT2G09785.1	478	520	640	666	563.145000475724	0.130050277339795	0.186940066655455	0.695678993094013	0.486629884039807	0.812953933472263	1	124
transcript:AT3G00980.1	12	2	6	5	6.52382087134541	-0.693489371591852	1.43188448086137	-0.484319357365111	0.628159240173381	0.869645625901589	1	154
transcript:AT3G01005.1	52	32	74	102	62.9074492721453	0.779020065780185	0.496247123584919	1.56982283373755	0.116456333864689	0.350704344638713	0.704273106865029	61
transcript:AT3G01135.1	70	83	82	64	73.9375477561448	-0.320785540196359	0.420577428990216	-0.762726475756315	0.445626537494724	0.776537332664073	1	117
transcript:AT3G02832.1	72	37	28	43	46.4020789033486	-0.919801487825953	0.587200331396277	-1.56641854346165	0.117250664558809	0.350704344638713	0.704273106865029	62
transcript:AT3G04485.1	41	64	56	44	50.3335616537797	-0.307819261888253	0.506252153086494	-0.608035462193207	0.543163954321186	0.8375439598366	1	134
transcript:AT3G01525.1	49	67	73	63	61.5491533548255	-0.015449826414512	0.454484840342545	-0.0339941512743692	0.972881814614143	0.995480276045138	1	240
transcript:AT3G01605.1	12	20	37	40	25.7973230068622	1.03157624880704	0.698639372241084	1.47655040611004	0.139796194059567	0.384439533663808	0.775046546477303	68
transcript:AT3G05152.1	0	0	8	6	3.1518872635901	4.99129333816646	2.40711667832816	2.07355687537055	0.0381204837993748	1	0.377260664134425	38
transcript:AT3G01615.1	17	19	15	18	17.1246396121753	-0.381352174509507	0.833509378916894	-0.457525954902939	0.647293051097205	0.869645625901589	1	159
transcript:AT3G06125.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT3G06125.3	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT3G06125.1	1	3	0	0	1.03069954661503	-3.64213528908816	3.66506644097773	-0.993743318911443	0.320347847313279	1	1	95.5
transcript:AT3G01905.1	43	47	41	33	40.9124372269008	-0.540308807684828	0.55211988172066	-0.978607772647088	0.327773817316184	0.670792928461027	1	98
transcript:AT3G06962.1	4	0	7	4	3.66132866436508	1.09465739912739	1.96110744788439	0.558183285830812	0.57671923300144	1	1	145
transcript:AT3G01925.1	12	10	14	14	12.3114317537219	0.0755847017062715	0.980444157841978	0.0770923066874491	0.93855011316175	0.995480276045138	1	230
transcript:AT3G07215.4	1	0	3	0	0.970109722878382	1.23956933220732	3.82287006362158	0.324250971541788	0.745748035093315	1	1	188
transcript:AT3G07215.3	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT3G07215.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT3G07215.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT3G02075.1	16	20	4	15	13.9251275226439	-1.16964316805501	0.991033638860887	-1.18022549607844	0.237910541134994	0.533734059072099	1	85
transcript:AT3G02115.1	106	89	169	182	132.272036698712	0.575888287926845	0.337735330919305	1.70514670869434	0.0881670661199287	0.298411608405913	0.615536739392836	54
transcript:AT3G11415.1	2	7	1	0	2.53069926298909	-3.36398487424993	2.5266059421351	-1.33142442917205	0.183049395627012	1	0.886811706923497	77
transcript:AT3G02475.1	3	6	4	3	3.93379710513329	-0.586843549293391	1.69488377300588	-0.346244125196044	0.729159256033409	0.930240589789958	1	181
transcript:AT3G02565.1	64	64	89	91	75.1800931269957	0.229556812359198	0.415448371805123	0.552551960576411	0.580570244886734	0.8375439598366	1	147
transcript:AT3G02585.1	21	35	40	26	29.6475232320002	0.00258981254752577	0.65662223633163	0.00394414383831158	0.996853036684996	0.996853036684996	1	246
transcript:AT3G12965.1	227	311	317	380	300.441432124666	0.129673461559468	0.238056751605748	0.544716588312623	0.585948454124556	0.838430308340828	1	148
transcript:AT3G13277.1	112	141	136	108	122.649969895172	-0.301945007822353	0.336618353479073	-0.896995082715013	0.369721540927876	0.677822825034439	1	109
transcript:AT3G14185.1	2	2	0	4	1.98605421535616	-0.25897140832095	2.53645057379027	-0.102099923017212	0.918677362119617	1	1	224
transcript:AT3G03065.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT3G15536.1	0	0	233	127	81.0114104647805	9.67516993974749	1.5068857423607	6.42063938078697	1.35703154600133e-10	3.98062586827056e-09	8.52668154737501e-09	6
transcript:AT3G03155.1	10	17	26	15	16.3522952558029	0.368472339755453	0.872560312490266	0.422288676760741	0.672814322086459	0.890340757046743	1	172
