WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT3G02565.1	64	64	62	64	63.2685277190122	-0.0735246934936114	0.424757316478921	-0.173098121306311	0.862574301642414	0.977839680860975	1	209
transcript:AT3G02585.1	21	35	21	32	26.6641418560876	-0.116906206068781	0.650802850560084	-0.179633826078314	0.857440047250849	0.977839680860975	1	207
transcript:AT3G12965.1	227	311	236	236	249.9577980494	-0.220556243717254	0.229037964468965	-0.962968057407528	0.335563553554784	0.977839680860975	1	50
transcript:AT3G13277.1	112	141	126	127	125.377476006981	-0.0370130929808558	0.306380188759433	-0.120807723014748	0.903843332831006	0.977839680860975	1	220
transcript:AT3G14185.1	2	2	0	6	2.38717242063515	0.45315862503476	2.26680318600101	0.199910882353312	0.841550279352117	0.977839680860975	1	202
transcript:AT3G03065.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT3G15536.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT3G03155.1	10	17	13	27	16.2474559364698	0.517892239266561	0.840346359386937	0.616284265983353	0.537706921406828	0.977839680860975	1	104
transcript:AT3G03155.2	32	33	20	39	30.5972133366757	-0.212639171649086	0.618046004318742	-0.344050718171818	0.730808144085984	0.977839680860975	1	157
transcript:AT3G17185.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT3G17185.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT3G18362.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT3G18362.2	0	0	0	1	0.228819650589532	1.36813990595467	4.99272633419422	0.274026616797429	0.784064167022792	0.977839680860975	1	182.5
transcript:AT3G03695.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
