ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:at3g06345	121	49	145	104	107.606050247852	0.79364875135443	0.480602701135458	1.6513614040857	0.0986648008878202	0.930806914237344	1	13
transcript:at3g06445	0	2	0	0	0.438691337650831	-2.15309790087982	4.89603885787252	-0.439763237870911	0.660108595903426	0.930806914237344	1	80
transcript:at3g06595	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g44444	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g07065	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g07095	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g07515	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g07685	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g07695	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g07755	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g48057	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g48201	0	2	0	1	0.684903248085125	-0.747071074517008	4.2378354071585	-0.176286005174968	0.860069256110029	0.930806914237344	1	131
transcript:at3g08150	0	1	0	0	0.219345668825415	-1.18670155797119	4.99472609170708	-0.237590918136935	0.81219839512009	0.930806914237344	1	123
transcript:at3g51375	1	0	0	0	0.236548513926456	-1.24168538225085	4.99090406823359	-0.2487896712249	0.803523481123343	0.930806914237344	1	116
transcript:at3g08285	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g53015	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g53016	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g55512	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g55734	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g59884	4	7	1	0	2.77561169338124	-3.16995060717302	2.35365679294238	-1.34681939043889	0.178038408127192	0.930806914237344	1	20
transcript:at3g09515	0	0	0	1	0.246211910434294	1.64642287773349	4.9910476562531	0.329875206795662	0.74149425797412	0.930806914237344	1	106.5
transcript:at3g09615	2	5	0	6	3.04709683458575	-0.0687059822905279	2.0545856446948	-0.0334403106864566	0.973323464346262	0.980036039962444	1	145
transcript:at3g61897	9	5	1	1	3.76587483579698	-2.58137743643871	1.87829230686605	-1.37432146583498	0.169341905085616	0.930806914237344	1	18
transcript:at3g63375	1	1	5	6	3.4031554248452	2.69356548418809	1.93610942415291	1.39122585251946	0.164156950069992	0.930806914237344	1	17
transcript:at4g00885	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g04095	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g04125	3875	3769	1590	1304	2531.85639835137	-1.14520738710866	0.237307669385834	-4.82583386399827	1.39418695043432e-06	0.000203551294763411	0.000453110758891155	1
transcript:at4g03039	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g04365	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g03438	0	1	0	0	0.219345668825415	-1.18670155797119	4.99472609170708	-0.237590918136935	0.81219839512009	0.930806914237344	1	123
transcript:at4g03445	5	2	8	13	7.17417239010903	1.7863203888244	1.30418146875612	1.36968698882688	0.170784631972673	0.930806914237344	1	19
transcript:at4g03455	0	2	0	0	0.438691337650831	-2.15309790087982	4.89603885787252	-0.439763237870911	0.660108595903426	0.930806914237344	1	80
transcript:at4g04825	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g04835	1	6	0	2	2.04504634774754	-1.62141681619545	2.50354772243885	-0.647647656828341	0.51721286611364	0.930806914237344	1	50
transcript:at4g05105	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g05508	0	0	0	1	0.246211910434294	1.64642287773349	4.9910476562531	0.329875206795662	0.74149425797412	0.930806914237344	1	106.5
transcript:at4g05305	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g08116	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g05415	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g05455	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g10345	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g05800	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g05855	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g05860	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g05925	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g05930	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g06075	5	0	2	7	3.49422185446736	0.985896247201745	1.96163797230221	0.502588276288657	0.615253773575128	0.930806914237344	1	68
transcript:at4g13493	37	29	35	40	35.2517242850006	0.41519775493962	0.595243801067026	0.697525541963381	0.485473960488974	0.930806914237344	1	47
transcript:at4g13494	44	32	35	58	41.9974152767793	0.500363253352177	0.564682836665549	0.886096089455845	0.375565750120382	0.930806914237344	1	35
transcript:at4g13554	11	3	0	0	3.26007065966726	-5.03905376840999	2.36603893154207	-2.12974254194786	0.0331928746911387	0.605769963113281	1	8
transcript:at4g13555	4	2	0	0	1.38488539335665	-3.80480359188784	3.13682294087442	-1.21294815282982	0.225149643772037	0.930806914237344	1	24
transcript:at4g06110	0	0	5	1	1.71620168992185	4.34752343194996	2.95793120417331	1.46978517479247	0.141619945597056	0.930806914237344	1	16
transcript:at4g13564	0	0	2	7	2.31147928483508	4.79168833385188	2.63061159110454	1.82151114594608	0.0685291939482953	0.930806914237344	1	10
transcript:at4g06130	0	0	1	0	0.293997955897512	1.77576746210912	4.98250639573158	0.356400438066751	0.721540701354903	0.930806914237344	1	95
transcript:at4g14504	4	1	5	0	2.6355295040188	0.320379479938833	2.23938243352546	0.143065996741994	0.886238059313934	0.930806914237344	1	136
transcript:at4g06260	2	0	0	0	0.473097027852911	-2.25211744126968	4.88873572896609	-0.460674817811429	0.645031924586514	0.930806914237344	1	72
transcript:at4g14811	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g17788	3	0	0	2	1.20206936264796	-0.495473397648884	3.31810960015866	-0.149323999914045	0.881297978383153	0.930806914237344	1	135
transcript:at4g06865	2	3	7	4	4.17396736734892	1.41832720922086	1.64407212454991	0.862691598526526	0.388307052856063	0.930806914237344	1	38
transcript:at4g19395	0	4	10	1	4.06357414471108	1.83520554284718	1.94164296200208	0.945181775827034	0.344566081795636	0.930806914237344	1	32
transcript:at4g06915	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g07000	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g07005	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g21362	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g21595	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g07080	3	6	0	0	2.02571955473186	-4.35653292141282	2.72472560087115	-1.59888868076108	0.109845339578397	0.930806914237344	1	15
transcript:at4g07100	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g23375	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g23387	0	0	0	2	0.492423820868588	2.56729526356959	4.90148962959027	0.523778577041323	0.600432555381471	0.930806914237344	1	65.5
transcript:at4g23713	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g24415	43	47	15	20	29.8150400807807	-1.13185677104862	0.645796876072465	-1.75265135677369	0.0796618700950857	0.930806914237344	1	12
transcript:at4g07565	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g27765	0	0	1	0	0.293997955897512	1.77576746210912	4.98250639573158	0.356400438066751	0.721540701354903	0.930806914237344	1	95
transcript:at4g08335	20	21	20	26	21.6186981131047	0.396482127362192	0.734006838364041	0.540161353599748	0.589085762027917	0.930806914237344	1	62
transcript:at4g30972	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g31877	2	0	1	2	1.25951880461901	0.750318835172898	2.9989908546598	0.250190437895821	0.802440079615681	0.930806914237344	1	112.5
transcript:at4g32445	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g09735	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at4g09925	98	127	61	75	87.4384228979407	-0.487905822909486	0.40712187665806	-1.19842693523266	0.230750851660608	0.930806914237344	1	25
transcript:at5g01747	0	0	1	1	0.540209866331806	2.68729895668106	4.61955044813637	0.581723045749001	0.560753245849021	0.930806914237344	1	56
transcript:at5g02035	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at5g03552	38	36	36	42	37.8101142574711	0.309809682235266	0.570817599525269	0.542747249722022	0.587303837135402	0.930806914237344	1	61
transcript:at5g04275	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at5g08185	5	3	3	4	3.70762108553824	0.0246004485821128	1.68876898332595	0.0145670892969999	0.98837755540284	0.98837755540284	1	146
transcript:at5g08210	38	43	23	51	37.73946770649	0.0746435406634998	0.596766699520507	0.125079936134967	0.900460267186468	0.930806914237344	1	139
