Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT1G05733.1	30	58	63	70
transcript:AT1G05737.1	0	0	0	0
transcript:AT1G05747.1	1	0	0	0
transcript:AT1G05753.1	111	94	366	248
transcript:AT1G05757.1	4	3	12	1
transcript:AT1G05763.1	22	43	32	39
transcript:AT1G05767.1	323	306	185	194
transcript:AT1G05767.2	3	0	0	0
transcript:AT1G05773.1	124	164	96	95
transcript:AT1G05777.1	141	223	100	71
transcript:AT1G05787.1	358	314	4	9
transcript:AT1G05793.1	0	0	0	0
transcript:AT1G05797.1	0	0	0	0
transcript:AT1G05803.1	0	0	2	0
transcript:AT1G05807.1	0	0	0	0
transcript:AT1G05817.1	0	2	0	0
transcript:AT1G05823.1	0	0	0	0
transcript:AT1G05827.1	0	0	0	0
transcript:AT1G05833.1	102	84	96	111
transcript:AT1G05837.1	184	169	51	75
transcript:AT1G05843.1	1	0	3	2
transcript:AT1G05847.1	0	0	0	0
transcript:AT1G05857.1	0	0	0	0
transcript:AT1G05863.1	0	0	0	0
transcript:AT1G05867.1	12	23	10	7
transcript:AT1G05873.1	68	76	63	65
transcript:AT1G05887.1	0	0	0	0
transcript:AT1G05893.1	0	0	0	0
transcript:AT1G05897.1	2	0	0	1
transcript:AT1G05903.1	0	0	0	0
transcript:AT1G05913.1	16	14	6	0
transcript:AT1G25098.1	0	0	0	0
transcript:AT1G25098.2	0	0	0	0
transcript:AT1G25098.4	0	0	0	0
transcript:AT1G25098.3	0	0	0	0
transcript:AT1G05927.1	491	529	432	536
transcript:AT1G05933.1	189	165	23	31
transcript:AT1G05937.1	0	0	4	0
transcript:AT1G05943.1	17	14	5	10
transcript:AT1G05947.1	0	0	0	0
transcript:AT1G05953.1	0	0	0	0
transcript:AT1G05957.1	0	0	0	0
transcript:AT1G05963.1	0	0	0	0
transcript:AT1G05967.1	0	0	0	2
transcript:AT1G05973.1	27	33	13	17
transcript:AT1G05977.1	12	9	14	11
transcript:AT1G05983.1	0	0	0	0
transcript:AT1G26208.1	0	0	0	0
transcript:AT1G26208.2	0	0	0	0
transcript:AT1G26208.3	0	0	0	0
transcript:AT1G26208.4	0	0	0	0
transcript:AT1G26208.6	0	0	0	0
transcript:AT1G26208.5	0	0	0	0
transcript:AT1G05987.1	0	0	0	0
transcript:AT1G26218.1	196	221	146	189
transcript:AT1G06003.1	24	11	28	32
transcript:AT1G06007.1	0	0	0	0
transcript:AT1G06013.1	0	0	0	0
transcript:AT1G06017.1	41	40	28	34
transcript:AT1G06023.1	0	0	0	0
transcript:AT1G06027.1	0	0	0	1
transcript:AT1G06037.1	0	2	0	0
transcript:AT1G06043.1	0	0	0	0
transcript:AT1G06047.1	0	0	0	0
transcript:AT1G06053.1	0	0	0	0
transcript:AT1G06057.1	0	3	0	0
transcript:AT1G06063.1	0	0	0	0
transcript:AT1G06067.1	0	0	0	0
transcript:AT1G06073.1	0	0	2	0
transcript:AT1G06083.1	82	41	64	50
