Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT2G07265.1	3	0	0	2
transcript:AT2G07275.1	40	53	53	67
transcript:AT2G07285.1	0	0	0	1
transcript:AT2G07305.1	81	66	84	112
transcript:AT2G07325.1	64	55	35	57
transcript:AT2G07335.1	22	14	46	67
transcript:AT2G07345.1	298	346	352	446
transcript:AT2G07355.1	0	3	0	1
transcript:AT2G21187.1	0	0	0	0
transcript:AT2G21187.2	0	0	0	0
transcript:AT2G21187.3	0	0	0	0
transcript:AT2G07375.1	0	0	0	0
transcript:AT2G07385.1	0	0	0	0
transcript:AT2G07415.1	0	0	0	0
transcript:AT2G07425.1	0	0	0	4
transcript:AT2G07435.1	2	0	1	5
transcript:AT2G07445.1	0	0	0	0
transcript:AT2G07475.1	537	479	722	786
transcript:AT2G07485.1	2	2	10	7
transcript:AT2G07495.1	119	98	72	85
transcript:AT2G07515.1	229	234	200	236
transcript:AT2G07525.1	0	0	0	0
transcript:AT2G07535.1	0	0	0	0
transcript:AT2G07545.1	0	0	0	0
transcript:AT2G07555.1	0	0	0	0
transcript:AT2G07585.1	5	42	20	18
transcript:AT2G07595.1	0	0	0	0
transcript:AT2G07645.1	0	0	0	0
transcript:AT2G07805.1	42	56	20	27
transcript:AT2G07840.1	0	0	0	0
transcript:AT2G07845.1	168	157	226	158
transcript:AT2G22821.1	4	2	12	16
transcript:AT2G07850.1	70	71	72	53
transcript:AT2G22955.1	0	0	0	0
transcript:AT2G22955.2	0	0	0	0
transcript:AT2G07855.1	0	0	0	0
transcript:AT2G23040.2	0	0	0	0
transcript:AT2G23040.3	0	0	0	0
transcript:AT2G23040.4	0	0	0	0
transcript:AT2G23040.7	0	0	0	0
transcript:AT2G23040.6	0	0	0	0
transcript:AT2G23040.5	0	0	0	0
transcript:AT2G23040.1	0	0	0	0
transcript:AT2G07860.1	0	0	0	0
transcript:AT2G07865.1	0	0	0	0
transcript:AT2G07870.1	0	0	0	0
transcript:AT2G07875.1	316	280	182	207
transcript:AT2G07885.1	0	0	0	0
transcript:AT2G07890.1	0	0	0	0
transcript:AT2G07900.1	0	0	0	0
transcript:AT2G07905.1	0	0	0	0
transcript:AT2G07925.1	0	0	0	0
transcript:AT2G07935.1	0	0	0	0
transcript:AT2G07940.1	0	0	0	0
transcript:AT2G23672.1	1277	1495	809	960
transcript:AT2G07945.1	0	0	0	0
transcript:AT2G07950.1	16	14	6	6
transcript:AT2G07950.2	58	26	34	40
transcript:AT2G07960.1	2	0	1	0
transcript:AT2G07965.1	5	0	3	0
transcript:AT2G07970.1	0	0	0	0
transcript:AT2G07985.1	0	0	0	0
transcript:AT2G07990.1	0	0	0	0
transcript:AT2G07995.1	0	0	0	0
transcript:AT2G08000.1	10	14	6	6
transcript:AT2G08005.1	1	0	0	0
transcript:AT2G08010.1	0	0	0	0
transcript:AT2G08020.1	3	3	2	10
transcript:AT2G08025.1	102	87	42	64
transcript:AT2G08030.1	0	0	0	0
transcript:AT2G08040.1	0	0	0	0
transcript:AT2G08045.1	2	2	0	0
transcript:AT2G08050.1	0	0	0	0
transcript:AT2G08055.1	0	0	0	0
transcript:AT2G24545.1	3	5	2	2
transcript:AT2G24545.2	0	0	0	0
transcript:AT2G24545.3	0	0	0	0
transcript:AT2G24592.1	118	161	102	151
transcript:AT2G24755.1	0	0	0	0
transcript:AT2G24755.2	0	0	0	0
transcript:AT2G24755.3	0	0	0	0
transcript:AT2G24755.4	0	1	0	0
transcript:AT2G08060.1	839	900	613	532
transcript:AT2G08075.1	0	0	0	0
transcript:AT2G08070.1	0	0	0	0
transcript:AT2G08085.1	0	0	0	0
transcript:AT2G08090.1	1	0	0	0
transcript:AT2G08095.1	0	0	2	0
transcript:AT2G08100.1	6	6	4	12
transcript:AT2G08105.1	0	0	0	0
transcript:AT2G08110.1	0	0	0	0
transcript:AT2G08115.1	0	0	0	0
transcript:AT2G08120.1	6	3	2	0
transcript:AT2G08125.1	0	0	0	0
transcript:AT2G08130.1	135	131	62	112
transcript:AT2G26355.1	325	427	433	434
transcript:AT2G26692.1	52	32	61	62
transcript:AT2G08150.1	0	0	0	0
transcript:AT2G08155.1	0	0	0	0
transcript:AT2G08160.1	0	0	0	0
transcript:AT2G08165.1	0	0	0	0
transcript:AT2G08175.1	0	0	0	0
transcript:AT2G08180.1	2	6	2	2
transcript:AT2G26882.1	0	0	0	0
transcript:AT2G08190.1	0	0	0	0
transcript:AT2G08195.1	0	0	0	0
transcript:AT2G08200.1	0	0	0	0
transcript:AT2G08210.1	0	0	0	0
transcript:AT2G08215.1	0	0	0	0
transcript:AT2G08220.1	16	8	70	116
transcript:AT2G08230.1	0	0	0	0
transcript:AT2G08240.1	0	0	0	0
transcript:AT2G08245.1	0	0	0	0
transcript:AT2G08250.1	0	0	0	0
transcript:AT2G08255.1	0	4	0	0
transcript:AT2G08260.1	0	0	0	0
transcript:AT2G08265.1	0	0	0	0
transcript:AT2G08270.1	0	0	0	0
transcript:AT2G08280.1	0	0	0	0
transcript:AT2G08285.1	0	0	0	0
transcript:AT2G08290.1	2	0	0	0
transcript:AT2G08295.1	0	2	0	0
transcript:AT2G08300.1	0	0	0	0
transcript:AT2G08305.1	0	0	0	0
transcript:AT2G08310.1	0	0	2	0
transcript:AT2G08315.1	0	0	0	0
transcript:AT2G08320.1	0	0	0	0
transcript:AT2G08335.1	45	43	30	36
transcript:AT2G08340.1	939	876	492	375
transcript:AT2G08345.1	210	165	85	132
transcript:AT2G08350.1	72	103	39	63
transcript:AT2G08355.1	0	0	0	0
transcript:AT2G08360.1	0	0	0	1
transcript:AT2G08365.1	0	0	0	0
transcript:AT2G30362.1	48	37	61	34
transcript:AT2G30362.2	0	0	0	0
transcript:AT2G30362.3	0	0	0	0
transcript:AT2G08380.1	1	0	0	1
transcript:AT2G08385.1	0	1	0	0
transcript:AT2G08395.1	0	0	0	0
transcript:AT2G08400.1	0	0	0	0
transcript:AT2G08405.1	0	0	5	2
transcript:AT2G08410.1	0	0	0	0
transcript:AT2G08415.1	0	0	0	0
transcript:AT2G08420.1	1072	1163	2042	2095
transcript:AT2G08425.1	47	68	78	69
transcript:AT2G30984.1	0	0	2	0
transcript:AT2G08430.1	0	0	0	0
transcript:AT2G08435.1	221	211	70	92
transcript:AT2G08435.2	170	143	36	65
transcript:AT2G08440.1	190	172	75	75
transcript:AT2G31751.1	0	0	0	0
transcript:AT2G31751.2	0	0	0	0
transcript:AT2G31751.3	0	0	0	0
transcript:AT2G31751.4	0	0	0	0
transcript:AT2G31751.5	0	0	0	0
transcript:AT2G08445.1	7	6	6	6
transcript:AT2G08450.1	4	0	5	8
transcript:AT2G08460.1	0	0	0	0
transcript:AT2G08455.1	0	0	1	0
transcript:AT2G08465.1	0	0	0	0
transcript:AT2G08470.1	339	380	219	214
transcript:AT2G08480.1	151	165	208	308
transcript:AT2G08485.1	5	16	7	10
transcript:AT2G08490.1	0	0	0	1
transcript:AT2G08495.1	0	0	0	0
transcript:AT2G08500.1	19	24	41	30
transcript:AT2G32179.1	0	0	0	0
transcript:AT2G32179.2	0	0	0	0
transcript:AT2G08505.1	0	0	0	0
transcript:AT2G08510.1	0	0	0	0
transcript:AT2G08515.1	0	0	0	0
transcript:AT2G32315.1	2	2	0	0
transcript:AT2G08520.1	0	0	1	0
transcript:AT2G08525.1	307	286	322	459
transcript:AT2G08530.1	0	6	1	8
transcript:AT2G08535.1	12	15	3	0
transcript:AT2G08540.1	0	2	0	0
transcript:AT2G08545.1	1	0	0	0
transcript:AT2G08550.1	0	0	0	0
transcript:AT2G33051.1	0	0	0	0
transcript:AT2G33051.2	0	0	0	0
transcript:AT2G33051.3	0	0	0	0
transcript:AT2G33051.6	0	0	0	0
transcript:AT2G33051.5	0	0	0	0
transcript:AT2G33051.4	0	0	0	0
transcript:AT2G33051.7	0	0	0	0
transcript:AT2G33051.9	0	0	0	0
transcript:AT2G33051.8	0	0	0	0
transcript:AT2G08560.1	0	7	0	4
transcript:AT2G08565.1	0	0	0	0
transcript:AT2G08570.1	9	19	15	14
transcript:AT2G08575.1	26	25	32	29
transcript:AT2G08590.1	0	0	0	0
transcript:AT2G08595.1	30	20	25	33
transcript:AT2G08620.1	0	0	0	0
transcript:AT2G08625.1	0	0	0	0
transcript:AT2G08630.1	0	0	0	0
transcript:AT2G33815.1	0	0	0	0
transcript:AT2G33815.2	0	0	0	0
transcript:AT2G08635.1	221	298	144	145
transcript:AT2G08640.1	0	0	0	1
transcript:AT2G08645.1	0	0	0	0
transcript:AT2G08650.1	113	138	72	53
transcript:AT2G08655.1	3	8	27	28
transcript:AT2G08660.1	17	15	15	35
transcript:AT2G08665.1	8677	13717	22583	13710
transcript:AT2G08670.1	0	0	0	0
transcript:AT2G08675.1	6	0	0	0
transcript:AT2G08680.1	44	59	162	370
transcript:AT2G08685.1	126	116	73	78
transcript:AT2G08690.1	14	1	2	0
transcript:AT2G08695.1	3	6	9	23
transcript:AT2G08700.1	0	0	3	0
transcript:AT2G08705.1	1	1	0	0
transcript:AT2G08710.1	0	0	0	0
transcript:AT2G08715.1	0	0	0	0
transcript:AT2G08720.1	0	0	0	0
transcript:AT2G08730.1	30	19	57	35
transcript:AT2G08735.1	1	16	0	0
transcript:AT2G35637.1	0	0	0	0
transcript:AT2G35637.2	0	0	0	0
transcript:AT2G35637.3	0	0	0	0
transcript:AT2G08740.1	40	34	50	68
transcript:AT2G08750.1	669	620	502	514
transcript:AT2G35738.4	0	0	0	0
transcript:AT2G35738.1	0	0	0	0
transcript:AT2G35738.5	0	0	0	0
transcript:AT2G35738.3	0	0	0	0
transcript:AT2G35738.2	0	0	0	0
transcript:AT2G35738.6	0	0	0	0
transcript:AT2G35738.7	0	0	0	0
transcript:AT2G35738.8	0	0	0	0
transcript:AT2G35859.1	298	373	340	462
transcript:AT2G08775.1	0	0	0	0
transcript:AT2G35945.1	1583	1320	518	709
transcript:AT2G08780.1	343	187	431	236
transcript:AT2G08790.1	0	0	0	0
transcript:AT2G08795.1	13	5	7	17
transcript:AT2G08800.1	0	0	0	0
transcript:AT2G08805.1	0	0	0	0
transcript:AT2G08815.1	3	1	3	8
transcript:AT2G08820.1	108	52	1	0
transcript:AT2G08825.1	0	0	0	0
transcript:AT2G36792.2	0	0	0	0
transcript:AT2G36792.1	0	0	0	0
transcript:AT2G36792.3	0	0	0	0
transcript:AT2G36792.4	0	0	0	0
transcript:AT2G08830.1	0	0	1	0
transcript:AT2G08835.1	0	0	0	0
transcript:AT2G08845.1	0	0	0	0
transcript:AT2G08850.1	0	0	0	0
transcript:AT2G08865.1	151	139	177	196
transcript:AT2G37362.1	174	188	253	372
transcript:AT2G08870.1	0	0	0	0
transcript:AT2G08875.1	0	0	0	0
transcript:AT2G08880.1	0	0	0	0
transcript:AT2G37555.1	572	455	392	578
transcript:AT2G08885.1	0	0	0	0
transcript:AT2G08890.1	0	0	0	0
transcript:AT2G08895.1	0	0	0	0
transcript:AT2G08920.1	0	0	0	0
transcript:AT2G08925.1	0	0	0	0
transcript:AT2G08930.1	7	0	0	4
transcript:AT2G08935.1	0	0	0	0
transcript:AT2G08940.1	0	0	0	0
transcript:AT2G08945.1	0	0	0	0
transcript:AT2G08950.1	0	0	0	0
transcript:AT2G08955.1	0	0	0	1
transcript:AT2G08960.1	18	4	1	4
transcript:AT2G08965.1	72	36	30	13
transcript:AT2G08970.1	0	0	0	0
transcript:AT2G08975.1	0	0	0	0
transcript:AT2G08980.1	0	0	0	0
transcript:AT2G08985.1	0	0	0	0
transcript:AT2G08990.1	0	0	0	0
transcript:AT2G08995.1	0	0	0	0
transcript:AT2G09005.1	0	0	0	0
transcript:AT2G09010.1	0	0	0	0
transcript:AT2G09015.1	0	0	0	0
transcript:AT2G09020.1	0	0	0	0
transcript:AT2G09025.1	26	20	20	19
transcript:AT2G09040.1	0	0	0	0
transcript:AT2G09050.1	1	0	0	0
transcript:AT2G09055.1	6	11	9	2
transcript:AT2G09060.1	0	0	0	0
transcript:AT2G09065.1	0	0	0	0
transcript:AT2G09070.1	0	0	0	0
transcript:AT2G09075.1	0	0	0	0
transcript:AT2G09085.1	3	0	1	0
transcript:AT2G09090.1	284	350	292	278
transcript:AT2G09095.1	0	0	0	0
transcript:AT2G09100.1	0	0	0	0
transcript:AT2G09105.1	0	0	0	0
transcript:AT2G40008.1	135	173	82	110
transcript:AT2G09110.1	0	0	0	0
transcript:AT2G09115.1	0	0	0	0
transcript:AT2G09125.1	0	0	0	0
transcript:AT2G09130.1	0	0	0	0
transcript:AT2G09135.1	0	0	0	0
transcript:AT2G09140.1	0	0	0	0
transcript:AT2G09160.1	0	0	0	0
transcript:AT2G09165.1	24	19	31	29
transcript:AT2G09170.1	8	5	9	12
transcript:AT2G09175.1	3	8	10	14
transcript:AT2G09180.1	0	0	0	0
transcript:AT2G09185.1	0	0	0	0
transcript:AT2G09190.1	276	233	114	148
transcript:AT2G09195.1	0	0	0	0
transcript:AT2G09200.1	105	119	152	145
transcript:AT2G09205.1	50	50	8	23
transcript:AT2G09210.1	0	0	0	0
transcript:AT2G09220.1	0	0	0	0
transcript:AT2G09225.1	642	652	348	481
transcript:AT2G09230.1	90	92	49	47
transcript:AT2G09235.1	0	0	0	0
transcript:AT2G41178.1	1	1	0	2
transcript:AT2G41178.2	2	0	2	7
transcript:AT2G09240.1	0	0	0	0
transcript:AT2G09245.1	0	0	0	0
transcript:AT2G09250.1	80	124	44	50
transcript:AT2G09255.1	0	0	0	0
transcript:AT2G09260.1	0	0	0	0
transcript:AT2G09265.1	0	1	0	2
transcript:AT2G09270.1	0	0	0	0
transcript:AT2G09280.1	0	0	0	0
transcript:AT2G09285.1	0	0	0	0
transcript:AT2G09290.1	0	0	0	0
transcript:AT2G09295.1	0	0	0	4
transcript:AT2G09300.1	15	11	8	9
transcript:AT2G09305.1	30	24	26	27
transcript:AT2G09305.2	31	8	10	19
transcript:AT2G09310.1	69	57	90	94
transcript:AT2G09315.1	0	0	0	0
transcript:AT2G09320.1	2	1	0	0
transcript:AT2G09325.1	104	121	98	101
transcript:AT2G09330.1	0	0	0	0
transcript:AT2G09335.1	16	12	11	3
transcript:AT2G09335.2	0	9	0	2
transcript:AT2G09345.1	11	5	4	1
transcript:AT2G42247.1	1	0	0	1
transcript:AT2G42247.2	0	0	0	0
transcript:AT2G42247.3	0	0	0	0
transcript:AT2G42247.4	0	0	0	0
transcript:AT2G09350.1	72	51	137	171
transcript:AT2G09355.1	0	0	0	0
transcript:AT2G09360.1	0	0	0	0
transcript:AT2G09370.1	39	27	23	24
transcript:AT2G42365.1	0	0	0	0
transcript:AT2G42365.2	1	0	0	2
transcript:AT2G42365.3	0	0	0	0
transcript:AT2G42365.4	0	0	0	0
transcript:AT2G42365.5	0	0	0	0
transcript:AT2G42365.6	0	0	0	0
transcript:AT2G09375.1	0	0	0	0
transcript:AT2G09380.1	0	0	0	0
transcript:AT2G09385.1	0	0	0	0
transcript:AT2G09390.1	0	0	0	0
transcript:AT2G42835.2	0	0	0	0
transcript:AT2G42835.1	0	0	0	0
transcript:AT2G42835.3	0	0	0	0
transcript:AT2G42835.4	0	0	0	0
transcript:AT2G42835.5	0	0	0	0
transcript:AT2G42835.6	0	0	0	0
transcript:AT2G09405.1	0	0	0	0
transcript:AT2G09410.1	0	0	0	0
transcript:AT2G09415.1	0	0	0	0
transcript:AT2G09420.1	9	10	4	6
transcript:AT2G09425.1	0	0	3	1
transcript:AT2G09430.1	83	119	98	88
transcript:AT2G09435.1	7	5	12	18
transcript:AT2G09440.1	9	24	8	3
transcript:AT2G09440.2	3	0	3	4
transcript:AT2G09445.1	0	0	0	0
transcript:AT2G09450.1	0	0	0	0
transcript:AT2G09455.1	106	129	32	38
transcript:AT2G09470.1	21	35	27	16
transcript:AT2G09480.1	1	0	0	0
transcript:AT2G09490.1	9	13	12	7
transcript:AT2G09495.1	4	9	5	5
transcript:AT2G09500.1	49	41	46	30
transcript:AT2G09505.1	15	14	12	8
transcript:AT2G09510.1	125	99	87	71
transcript:AT2G44255.1	0	0	0	0
transcript:AT2G44255.2	0	0	0	0
transcript:AT2G09515.1	0	0	0	0
transcript:AT2G09525.1	0	8	2	1
transcript:AT2G09530.1	0	0	0	0
transcript:AT2G09535.1	0	0	0	0
transcript:AT2G09540.1	0	0	0	0
transcript:AT2G09545.1	0	0	0	0
transcript:AT2G44798.1	0	0	0	0
transcript:AT2G44798.3	0	0	0	0
transcript:AT2G44798.2	0	0	0	0
transcript:AT2G44798.4	0	0	0	0
transcript:AT2G44798.5	0	0	0	0
transcript:AT2G44798.6	0	0	0	0
transcript:AT2G44798.7	0	0	0	0
transcript:AT2G44798.8	0	0	0	0
transcript:AT2G44798.9	0	0	0	0
transcript:AT2G44798.10	0	0	0	0
transcript:AT2G09550.1	0	0	0	0
transcript:AT2G09555.1	0	0	1	2
transcript:AT2G09560.1	1	2	3	1
transcript:AT2G09565.1	56	64	49	57
transcript:AT2G09570.1	0	2	2	3
transcript:AT2G09575.1	2	0	0	2
transcript:AT2G09585.1	0	0	0	0
transcript:AT2G09590.1	0	0	0	0
transcript:AT2G45315.1	6	14	15	5
transcript:AT2G45315.2	0	0	0	0
transcript:AT2G45315.3	0	0	0	0
transcript:AT2G09605.1	12	9	4	12
transcript:AT2G09610.1	4	1	6	5
transcript:AT2G09615.1	4	0	0	0
transcript:AT2G09620.1	0	0	0	0
transcript:AT2G09625.1	0	0	0	0
transcript:AT2G09630.1	0	0	0	0
transcript:AT2G09635.1	0	0	0	0
transcript:AT2G09640.1	573	536	395	513
transcript:AT2G09645.1	46	39	38	43
transcript:AT2G09650.1	20	8	16	30
transcript:AT2G09655.1	0	0	0	0
transcript:AT2G45685.1	378	386	465	536
transcript:AT2G09660.1	95	122	145	160
transcript:AT2G09665.1	4	0	6	26
transcript:AT2G09710.1	18	19	19	23
transcript:AT2G09715.1	0	0	0	0
transcript:AT2G09720.1	0	0	0	0
transcript:AT2G09725.1	0	0	0	0
transcript:AT2G09730.1	0	0	1	0
transcript:AT2G46572.1	0	0	0	0
transcript:AT2G46572.2	0	0	0	0
transcript:AT2G46572.3	0	0	0	0
transcript:AT2G46572.4	0	0	0	0
transcript:AT2G09740.1	36	50	47	65
transcript:AT2G09745.1	7	7	8	4
transcript:AT2G09750.1	0	0	0	0
transcript:AT2G09755.1	0	0	1	0
transcript:AT2G09760.1	0	0	0	0
transcript:AT2G09765.1	0	0	0	0
transcript:AT2G09770.1	0	0	0	0
transcript:AT2G09775.1	6	0	6	3
transcript:AT2G09780.1	0	0	0	0
transcript:AT2G09805.1	199	256	181	184
transcript:AT2G09825.1	0	0	0	0
transcript:AT2G09835.1	0	0	0	0
transcript:AT2G09845.1	0	0	0	0
transcript:AT2G09875.1	0	1	0	0
transcript:AT2G09885.1	103	131	48	42
transcript:AT2G09895.1	482	392	289	343
transcript:AT2G09905.1	10	12	19	19
transcript:AT2G09915.1	0	0	0	0
transcript:AT2G09925.1	1	0	0	0
transcript:AT2G09935.1	2	4	3	0
transcript:AT2G09945.1	294	343	301	351
transcript:AT2G09955.1	0	5	4	0
transcript:AT2G09965.1	4	1	0	2
transcript:AT2G47895.1	23	19	22	23
transcript:AT2G09975.1	147	135	123	180
transcript:AT3G00970.1	12	27	4	2
transcript:AT3G01142.1	142	125	279	288
transcript:AT3G00975.1	0	0	0	2
transcript:AT3G01202.1	771	722	481	488
transcript:AT3G00995.1	0	0	0	0
transcript:AT3G01025.1	0	0	0	0
transcript:AT3G01035.1	166	186	82	142
transcript:AT3G01045.1	1	4	7	10
transcript:AT3G01055.1	34	41	4	4
transcript:AT3G01065.1	39	50	20	36
transcript:AT3G01075.1	0	0	0	0
transcript:AT3G01095.1	0	0	0	0
transcript:AT3G01105.1	3	12	5	6
transcript:AT3G01115.1	0	0	0	2
transcript:AT3G01125.1	0	0	0	0
transcript:AT3G01165.1	20	28	8	1
transcript:AT3G01195.1	0	0	0	0
transcript:AT3G01205.1	664	797	439	393
transcript:AT3G01215.1	5	8	5	9
transcript:AT3G01225.1	37	37	12	1
transcript:AT3G01235.1	6	0	2	0
transcript:AT3G01255.1	0	0	0	0
transcript:AT3G01275.1	0	0	0	0
transcript:AT3G01285.1	0	0	0	0
transcript:AT3G01295.1	50	41	12	16
transcript:AT3G01305.1	0	0	0	0
transcript:AT3G01315.1	0	0	0	0
transcript:AT3G03702.1	0	0	0	0
transcript:AT3G03702.2	0	0	0	0
transcript:AT3G03702.4	0	0	0	0
transcript:AT3G03702.3	0	0	0	0
transcript:AT3G03702.5	0	0	0	0
transcript:AT3G01365.1	7	11	5	11
transcript:AT3G01375.1	24	33	25	31
transcript:AT3G01385.1	0	0	0	0
transcript:AT3G01395.1	0	0	0	0
transcript:AT3G01425.1	14	3	7	11
transcript:AT3G01445.1	6	5	2	3
transcript:AT3G01485.1	578	765	457	521
transcript:AT3G01495.1	22	17	16	19
transcript:AT3G01505.1	1325	1660	1383	1485
transcript:AT3G01515.1	178	197	208	201
transcript:AT3G01535.1	0	0	0	0
transcript:AT3G01545.1	112	104	83	110
transcript:AT3G01555.1	59	47	27	33
transcript:AT3G01565.1	0	4	0	0
transcript:AT3G01575.1	0	0	0	0
transcript:AT3G01585.1	2	0	0	0
transcript:AT3G01595.1	9	3	1	1
transcript:AT3G01625.1	5	1	2	0
transcript:AT3G01635.1	44	28	24	13
transcript:AT3G01645.1	0	0	0	0
transcript:AT3G01655.1	1	0	0	1
transcript:AT3G01665.1	2	2	0	0
transcript:AT3G01675.1	3	6	0	0
transcript:AT3G01735.1	0	0	0	2
transcript:AT3G01745.1	38	27	21	22
transcript:AT3G01755.1	19	25	0	1
transcript:AT3G01765.1	0	0	0	0
transcript:AT3G01775.1	0	0	0	0
transcript:AT3G01785.1	0	0	0	0
transcript:AT3G01795.1	12	6	11	11
transcript:AT3G05905.1	23	27	47	104
transcript:AT3G05905.2	0	0	0	0
transcript:AT3G05932.1	0	0	3	4
transcript:AT3G05932.2	0	0	0	0
transcript:AT3G05932.3	0	0	0	0
transcript:AT3G01805.1	0	0	0	0
transcript:AT3G01815.1	0	0	0	0
transcript:AT3G01835.1	4	2	2	6
transcript:AT3G01845.1	5	1	2	2
transcript:AT3G01855.1	0	1	0	0
transcript:AT3G01865.1	6	10	21	23
transcript:AT3G01885.1	0	0	0	2
transcript:AT3G01895.1	113	134	247	204
transcript:AT3G01915.1	12	6	8	7
transcript:AT3G01935.1	0	0	2	0
transcript:AT3G01945.1	31	29	29	21
transcript:AT3G01965.1	0	0	0	0
transcript:AT3G01975.1	0	0	0	0
transcript:AT3G01985.1	0	0	0	0
transcript:AT3G01995.1	103	143	180	173
transcript:AT3G02015.1	47	44	16	26
transcript:AT3G02025.1	14	11	6	8
transcript:AT3G02035.1	18	19	11	17
transcript:AT3G02055.1	0	0	0	0
transcript:AT3G02085.1	0	2	0	0
transcript:AT3G02095.1	58	60	45	63
transcript:AT3G02105.1	138	120	106	108
transcript:AT3G02135.1	0	0	0	0
transcript:AT3G02145.1	0	2	0	0
transcript:AT3G02155.1	1	0	0	0
transcript:AT3G02165.1	5	13	9	18
transcript:AT3G02195.1	0	0	0	0
transcript:AT3G02215.1	136	108	81	94
transcript:AT3G02225.1	9	15	7	9
transcript:AT3G02235.1	6	6	0	0
transcript:AT3G02265.1	0	0	0	0
transcript:AT3G02275.1	75	87	71	54
transcript:AT3G02285.1	7	5	3	3
transcript:AT3G02295.1	33	20	32	31
transcript:AT3G02305.1	109	92	139	102
transcript:AT3G02325.1	0	0	0	0
transcript:AT3G02345.1	0	0	0	0
transcript:AT3G02365.1	68	53	50	57
transcript:AT3G02395.1	0	0	1	0
transcript:AT3G02405.1	0	0	4	0
transcript:AT3G02415.1	0	0	0	0
transcript:AT3G02425.1	0	0	0	0
transcript:AT3G02455.1	30	18	18	44
transcript:AT3G02455.2	60	78	100	114
transcript:AT3G02455.3	105	124	133	160
transcript:AT3G02465.1	25	7	7	13
transcript:AT3G02485.1	3	12	6	13
transcript:AT3G02485.2	23	21	26	31
transcript:AT3G02495.1	160	149	129	108
transcript:AT3G02505.1	102	116	123	153
transcript:AT3G02525.1	127	136	57	64
transcript:AT3G12502.1	1614	850	107	193
transcript:AT3G02535.1	76	60	34	26
transcript:AT3G02545.1	17	17	35	19
transcript:AT3G02575.1	186	201	181	237
transcript:AT3G02595.1	0	0	0	0
transcript:AT3G02605.1	0	0	0	0
transcript:AT3G02615.1	0	0	0	0
transcript:AT3G02625.1	0	0	0	0
transcript:AT3G02635.1	0	0	0	0
transcript:AT3G02655.1	0	0	0	0
transcript:AT3G13061.1	328	425	281	334
transcript:AT3G02665.1	0	0	0	0
transcript:AT3G02685.1	0	0	0	0
transcript:AT3G02695.1	0	2	0	0
transcript:AT3G02705.1	98	81	1	1
transcript:AT3G02735.1	0	0	0	1
transcript:AT3G02745.1	0	2	0	0
transcript:AT3G02755.1	5	5	7	6
transcript:AT3G02765.1	259	287	227	243
transcript:AT3G02775.1	0	0	0	0
transcript:AT3G02785.1	6	6	0	0
transcript:AT3G02805.1	0	0	0	0
transcript:AT3G02815.1	0	0	0	0
transcript:AT3G02825.1	48	45	9	27
transcript:AT3G02835.1	0	0	0	0
transcript:AT3G02845.1	55	53	44	53
transcript:AT3G02855.1	11	10	5	1
transcript:AT3G02895.1	7	5	6	1
transcript:AT3G02905.1	0	0	0	0
transcript:AT3G02915.1	31	21	32	37
transcript:AT3G02925.1	14	31	15	11
transcript:AT3G02935.1	23	17	10	17
transcript:AT3G02945.1	5	3	6	5
transcript:AT3G02955.1	0	0	0	0
transcript:AT3G02985.1	2	3	1	9
transcript:AT3G02995.1	0	0	0	0
transcript:AT3G03005.1	0	0	0	0
transcript:AT3G03025.1	227	291	369	359
transcript:AT3G03035.1	0	0	0	0
transcript:AT3G03045.1	0	0	0	0
transcript:AT3G03055.1	0	0	0	0
transcript:AT3G03075.1	9	13	6	5
transcript:AT3G03085.1	0	0	0	0
transcript:AT3G03095.1	43	45	31	25
transcript:AT3G03105.1	858	954	1933	1642
transcript:AT3G03115.1	0	0	0	0
transcript:AT3G03125.1	196	155	7	3
transcript:AT3G03135.1	27	62	85	60
transcript:AT3G03145.1	76	132	242	203
transcript:AT3G03165.1	4	8	2	4
transcript:AT3G03195.1	4	20	6	9
transcript:AT3G03205.1	0	1	0	0
transcript:AT3G03215.1	98	130	71	48
transcript:AT3G03225.1	8	0	0	4
transcript:AT3G03265.1	124	98	876	1345
transcript:AT3G03275.1	73	97	143	157
transcript:AT3G03285.1	0	0	0	0
transcript:AT3G03295.1	0	0	21	13
transcript:AT3G03325.1	2	0	8	6
transcript:AT3G03335.1	0	0	0	0
transcript:AT3G03345.1	0	0	0	0
transcript:AT3G03355.1	0	0	0	0
transcript:AT3G03365.1	0	0	0	0
transcript:AT3G03375.1	0	0	0	0
transcript:AT3G03385.1	32	34	41	28
transcript:AT3G03435.1	1	2	0	0
transcript:AT3G03455.1	0	0	0	0
transcript:AT3G03465.1	0	0	0	0
transcript:AT3G03475.1	3467	3634	3012	4233
transcript:AT3G03475.2	462	439	415	581
transcript:AT3G03495.1	0	2	0	0
transcript:AT3G03505.1	0	0	0	0
transcript:AT3G03515.1	5	6	4	3
transcript:AT3G03525.1	0	0	0	0
transcript:AT3G03535.1	306	247	327	252
transcript:AT3G03555.1	0	0	2	2
transcript:AT3G03595.1	7	1	4	1
transcript:AT3G03605.1	8	8	7	7
transcript:AT3G03615.1	0	0	0	0
transcript:AT3G03635.1	1	0	0	8
transcript:AT3G03645.1	0	0	0	0
transcript:AT3G03655.1	0	0	0	0
transcript:AT3G03665.1	0	0	0	1
transcript:AT3G03675.1	3	6	0	1
transcript:AT3G03685.1	0	0	0	0
transcript:AT3G03705.1	0	0	0	0
