Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT3G48515.1	0	0	0	0
transcript:AT3G48745.1	0	0	0	0
transcript:AT3G49925.1	0	0	0	0
transcript:AT3G50505.1	0	0	0	0
transcript:AT3G50665.1	0	0	0	0
transcript:AT3G50835.1	0	0	0	0
transcript:AT3G50895.1	0	0	0	0
transcript:AT3G51135.1	0	0	1	0
transcript:AT3G51265.1	0	0	0	0
transcript:AT3G52285.1	0	0	0	0
transcript:AT3G52345.1	10	9	1	1
transcript:AT3G52565.1	2	1	0	0
transcript:AT3G52765.1	0	0	0	0
transcript:AT3G52955.1	0	0	0	0
transcript:AT3G53775.1	0	0	0	0
transcript:AT3G53965.1	0	0	0	0
transcript:AT3G55735.1	0	0	0	0
transcript:AT3G55795.1	0	0	0	0
transcript:AT3G56085.1	0	0	0	0
transcript:AT3G58035.1	0	0	0	0
transcript:AT3G58165.1	0	0	0	1
transcript:AT3G59415.1	0	0	0	0
transcript:AT3G59923.1	0	0	0	0
transcript:AT3G59926.1	0	0	0	0
transcript:AT3G60075.1	0	0	0	0
transcript:AT3G60805.1	0	0	1	0
transcript:AT3G61105.1	0	0	0	0
transcript:AT3G61545.1	0	0	0	0
transcript:AT3G61715.1	0	0	0	0
transcript:AT3G61755.1	0	0	0	0
transcript:AT3G61825.1	0	0	0	0
transcript:AT3G62245.1	0	0	0	0
transcript:AT3G62285.1	0	0	0	0
transcript:AT3G62735.1	0	0	0	0
transcript:AT3G63003.1	0	0	0	0
transcript:AT3G63006.1	0	0	0	0
transcript:AT4G00085.1	0	0	0	0
transcript:AT4G00985.1	0	0	0	0
transcript:AT4G01355.1	0	0	0	0
transcript:AT4G01865.1	3	3	1	0
transcript:AT4G02055.1	0	0	0	0
transcript:AT4G03135.1	0	0	0	0
transcript:AT4G03285.1	0	0	0	0
transcript:AT4G03405.1	2	0	1	0
transcript:AT4G03435.1	0	0	0	0
transcript:AT4G08345.1	0	0	2	1
transcript:AT4G10815.1	0	0	0	0
transcript:AT4G11177.1	0	0	0	0
transcript:AT4G11213.1	0	0	0	0
transcript:AT4G11216.1	0	0	0	0
transcript:AT4G11355.1	0	0	0	0
transcript:AT4G11405.1	0	0	0	0
transcript:AT4G11985.1	0	1	0	0
transcript:AT4G12065.1	3	1	1	0
transcript:AT4G12115.1	0	0	0	0
transcript:AT4G12405.1	0	0	0	0
transcript:AT4G13265.1	0	0	0	0
transcript:AT4G13445.1	0	0	0	0
transcript:AT4G14345.1	0	0	0	0
transcript:AT4G14415.1	0	0	1	0
transcript:AT4G15775.1	0	0	0	0
transcript:AT4G16105.1	0	0	0	0
transcript:AT4G16235.1	3	0	0	0
transcript:AT4G16465.1	0	0	0	0
transcript:AT4G16475.1	0	0	0	0
transcript:AT4G17612.1	0	0	0	0
transcript:AT4G17765.1	0	0	0	0
transcript:AT4G17975.1	0	0	0	1
transcript:AT4G18255.1	0	0	0	0
transcript:AT4G18725.1	0	0	0	0
transcript:AT4G18815.1	0	0	2	0
transcript:AT4G20115.1	1	0	0	0
transcript:AT4G22265.1	0	0	0	1
transcript:AT4G22635.1	0	0	0	0
transcript:AT4G22754.1	0	0	0	0
transcript:AT4G23635.1	0	0	0	0
transcript:AT4G23915.1	0	0	0	0
transcript:AT4G24025.1	0	0	0	0
transcript:AT4G24565.1	0	0	0	0
transcript:AT4G25435.1	0	0	0	0
transcript:AT4G25585.1	0	0	0	0
transcript:AT4G25635.1	0	0	0	0
transcript:AT4G26225.1	0	0	0	0
transcript:AT4G26375.1	0	0	0	0
transcript:AT4G26385.1	0	0	0	0
transcript:AT4G26675.1	0	0	0	0
transcript:AT4G27395.1	1	0	0	0
transcript:AT4G27875.1	0	0	0	0
transcript:AT4G27885.1	0	0	0	0
transcript:AT4G28362.1	0	0	0	0
transcript:AT4G28915.1	0	0	0	0
transcript:AT4G29415.1	0	0	0	0
transcript:AT4G31075.1	0	0	0	0
transcript:AT4G31265.1	0	0	0	0
transcript:AT4G31695.1	0	0	0	0
transcript:AT4G31895.1	0	0	0	0
transcript:AT4G32265.1	0	0	0	0
transcript:AT4G32475.1	0	1	0	0
transcript:AT4G32765.1	0	0	0	0
transcript:AT4G34035.1	0	0	0	0
transcript:AT4G34415.1	0	2	0	0
transcript:AT4G34695.1	0	0	0	0
transcript:AT4G34975.1	0	0	0	0
transcript:AT4G36197.1	0	0	0	0
transcript:AT4G36245.1	0	0	0	0
transcript:AT4G36635.1	0	0	0	0
transcript:AT4G37175.1	0	0	0	1
transcript:AT4G39195.1	0	0	0	0
transcript:AT4G39345.1	0	0	2	0
transcript:AT4G39615.1	0	0	0	0
transcript:AT4G39672.1	0	1	0	0
transcript:AT4G39865.1	0	0	0	0
transcript:AT4G39985.1	0	0	0	0
transcript:AT5G01365.1	0	0	0	0
transcript:AT5G02025.1	0	0	0	0
transcript:AT5G02385.1	0	0	0	0
transcript:AT5G02435.1	0	0	0	0
transcript:AT5G02505.1	0	0	0	0
transcript:AT5G02615.1	0	0	0	0
transcript:AT5G02725.1	0	0	0	0
transcript:AT5G02815.1	0	0	0	0
transcript:AT5G03445.1	0	0	0	0
transcript:AT5G03452.1	0	0	0	0
transcript:AT5G03705.1	0	0	0	0
transcript:AT5G03745.1	0	0	0	0
transcript:AT5G03775.1	0	0	0	0
transcript:AT5G05795.1	0	0	0	0
transcript:AT5G05945.1	0	1	0	0
transcript:AT5G05985.1	0	0	0	0
transcript:AT5G06125.1	0	0	0	0
transcript:AT5G06685.1	0	0	0	0
transcript:AT5G07135.1	0	0	0	0
transcript:AT5G07315.1	0	0	0	0
transcript:AT5G07625.1	0	0	0	0
transcript:AT5G07675.1	0	0	0	0
transcript:AT5G08075.1	0	0	0	0
transcript:AT5G09345.1	0	0	0	0
transcript:AT5G09655.1	0	0	0	0
transcript:AT5G09755.1	0	0	0	0
transcript:AT5G09975.1	0	0	0	0
transcript:AT5G10235.1	0	0	0	0
transcript:AT5G10455.1	0	0	0	0
transcript:AT5G10525.1	0	0	0	0
transcript:AT5G11225.1	0	0	0	0
transcript:AT5G11325.1	0	0	0	0
transcript:AT5G11475.1	0	0	0	0
transcript:AT5G13845.1	0	0	0	0
transcript:AT5G14035.1	0	0	0	0
transcript:AT5G14495.1	0	0	0	0
transcript:AT5G15175.1	0	0	0	0
transcript:AT5G15805.1	0	0	0	0
transcript:AT5G15815.1	0	0	0	0
transcript:AT5G16375.1	0	0	0	0
transcript:AT5G18005.1	0	0	0	0
transcript:AT5G18015.1	0	0	0	0
transcript:AT5G18085.1	0	0	0	0
transcript:AT5G18755.1	0	0	0	0
transcript:AT5G19095.1	0	0	0	0
transcript:AT5G20852.1	0	0	0	0
transcript:AT5G20854.1	0	0	0	0
transcript:AT5G20856.1	0	0	0	0
transcript:AT5G20858.1	0	0	0	0
transcript:AT5G21378.1	0	0	0	0
transcript:AT5G22315.1	0	0	0	0
transcript:AT5G23665.1	0	0	0	0
transcript:AT5G25585.1	0	0	0	0
transcript:AT5G25625.1	0	0	0	0
transcript:AT5G27715.1	2	0	0	0
transcript:AT5G32017.1	0	0	0	0
transcript:AT5G35605.1	0	0	0	0
transcript:AT5G37795.1	0	0	0	0
transcript:AT5G38155.1	0	0	0	0
transcript:AT5G38905.1	0	0	0	0
